pde,trial,d_hidden,d_model,mapping_size,n_params,lbfgs_iters,final_rrmse,final_rmae,train_time,seed
pde4,45,128,64,80,150991,1000,0.010155529375543267,0.009555448367264768,3688.3279983997345,42
pde4,46,128,128,112,260111,1000,0.00599956412176688,0.005780123093685837,3997.824149608612,42
pde4,47,768,16,128,683935,1000,0.01247672478050357,0.011931058327773417,6591.839303970337,42
pde5,0,256,16,16,146335,1000,0.039834006302197904,,1482.3647623062134,42
pde5,1,256,128,48,309647,1000,0.049058109371439416,,857.477246761322,42
pde5,2,128,64,96,153039,1000,0.04672618829186884,,594.2055525779724,42
pde5,3,768,32,48,706607,1000,0.050656473760589744,,2490.3911366462708,42
pde5,4,768,64,112,771407,1000,0.051246634066226704,,1469.7600765228271,42
pde5,5,512,64,16,414287,1000,0.04939442755916673,,1293.1091513633728,42
pde5,6,256,64,16,200527,1000,0.04397562020926096,,924.8846909999847,42
pde5,7,256,128,80,317839,1000,0.04305528925374513,,926.883284330368,42
pde5,8,768,16,128,683935,1000,0.05424461721019346,,2557.7571387290955,42
pde5,9,256,128,16,301455,1000,0.03937159753729892,,1097.8960723876953,42
pde5,10,128,16,16,94751,1000,0.03826313876938567,,1043.068585395813,42
pde5,11,768,128,80,909199,1000,0.04352075502465653,,1347.4016654491425,42
pde5,12,768,16,96,682911,1000,0.047913383158386925,,1934.431973695755,42
pde5,13,768,16,16,680351,1000,0.051468732006713605,,2758.2107605934143,42
pde5,14,768,128,16,892815,1000,0.04390182038683385,,1800.4151985645294,42
pde5,15,512,128,112,556175,1000,0.048282407306280146,,1157.056908607483,42
pde5,16,768,16,112,683423,1000,0.054082663182378865,,2484.769604444504,42
pde5,17,128,32,80,112815,1000,0.05059774248334428,,661.4479701519012,42
pde5,18,128,16,32,95263,1000,0.04367418809677304,,844.4318397045135,42
pde5,19,256,128,64,313743,1000,0.04418621645806309,,848.7210583686829,42
pde5,20,512,128,128,560271,1000,0.048343880191644824,,2319.9181156158447,42
pde5,21,512,128,16,531599,1000,0.04017911910998046,,1274.1666252613068,42
pde5,22,256,32,64,165423,1000,0.05454082953742236,,856.7906565666199,42
pde5,23,768,32,96,709679,1000,0.0421744901316854,,2445.846267223358,42
pde5,24,256,32,80,166447,1000,0.05132730250708155,,891.4805979728699,42
pde5,25,512,128,32,535695,1000,0.04029204278897798,,1172.5401737689972,42
pde5,26,512,32,80,372015,1000,0.05106580644106159,,1308.149240732193,42
pde5,27,128,16,112,97823,1000,0.04916012061170847,,919.6693229675293,42
pde5,28,256,128,128,330127,1000,0.04198768076083217,,875.8789496421814,42
pde5,29,128,128,96,256015,1000,0.04235800131513008,,798.4980475902557,42
pde5,30,768,128,64,905103,1000,0.04707709842465534,,1496.6125657558441,42
pde5,31,128,64,32,144847,1000,0.04493280972159182,,711.3186311721802,42
pde5,32,512,64,32,416335,1000,0.04723218827823155,,1227.4310410022736,42
pde5,33,512,128,96,552079,1000,0.048254397406020194,,1046.2608001232147,42
pde5,34,128,128,112,260111,1000,0.04411310990367084,,699.4114081859589,42
pde5,35,512,16,64,349343,1000,0.053269293193920625,,1961.9614086151123,42
pde5,36,768,128,48,901007,1000,0.046805583412084795,,1505.1693994998932,42
pde5,37,128,16,48,95775,1000,0.04677068249877684,,669.4407169818878,42
pde5,38,512,64,128,428623,1000,0.049983592373002664,,1090.8345263004303,42
pde5,39,512,16,16,347807,1000,0.04615433827474943,,1943.4242136478424,42
pde5,40,512,128,48,539791,1000,0.044383885826842426,,1045.7715964317322,42
pde5,41,512,16,32,348319,1000,0.05513439286995393,,1639.459549188614,42
pde5,42,128,32,64,111791,1000,0.04574684307207672,,791.0539753437042,42
pde5,43,768,128,96,913295,1000,0.04953436877961115,,1458.28227186203,42
pde5,44,768,64,64,765263,1000,0.04734116638300084,,2559.0145626068115,42
pde5,45,512,32,128,375087,1000,0.05253083101301904,,1870.1301198005676,42
pde5,46,768,64,80,767311,1000,0.04875973947464056,,2172.7528154850006,42
pde5,47,128,64,112,155087,1000,0.046957635416582495,,640.9863939285278,42
pde6,0,128,32,16,108719,1000,0.0007618113938434091,,862.6563723087311,42
pde6,1,256,16,16,146335,1000,0.001487953889261987,,1096.1834471225739,42
pde6,2,128,128,96,256015,1000,0.0009206363542388553,,1055.5233099460602,42
pde6,3,512,128,48,539791,1000,0.001812045160590951,,1543.231420993805,42
pde6,4,768,32,32,705583,1000,0.001961776379524719,,1375.173851966858,42
pde6,5,128,16,112,97823,1000,0.0006972724616010101,,789.6867644786835,42
pde6,6,256,64,80,208719,1000,0.000709736019285847,,937.9088020324707,42
pde6,7,512,128,96,552079,1000,0.0012321167034775584,,1609.831151008606,42
pde6,8,768,16,96,682911,1000,0.0013157362850997993,,1953.5325305461884,42
pde6,9,128,128,16,235535,1000,0.0008037022576346847,,1029.0652012825012,42
pde6,10,128,128,32,239631,1000,0.0008602979521695789,,1045.1925637722015,42
pde6,11,768,128,48,901007,1000,0.001196722163929293,,1863.0426042079926,42
pde6,12,768,128,16,892815,1000,0.0014174674901950277,,2124.0667033195496,42
pde6,13,128,32,32,109743,1000,0.0010833278753277589,,787.9487688541412,42
pde6,14,768,128,112,917391,1000,0.0010873617108069584,,2182.3031368255615,42
pde6,15,256,128,112,326031,1000,0.0008342099766392968,,1155.4673302173615,42
pde6,16,512,128,80,547983,1000,0.0010013668064208147,,1626.160010099411,42
pde6,17,128,64,48,146895,1000,0.0014653671618417687,,788.2156059741974,42
pde6,18,256,128,48,309647,1000,0.000837641950631669,,1307.6368317604065,42
pde6,19,256,64,16,200527,1000,0.0017642445401844116,,975.6402053833008,42
pde6,20,128,16,16,94751,1000,0.0039478307949952305,,1762.8595447540283,42
pde6,21,512,32,112,374063,1000,0.0010119802140168173,,1270.8968567848206,42
pde6,22,256,16,80,148383,1000,0.0006863226312431838,,1109.5320422649384,42
pde6,23,768,16,128,683935,1000,0.0012363360249771514,,1683.0038759708405,42
pde6,24,768,32,96,709679,1000,0.000639808038195067,,1680.6696710586548,42
pde6,25,256,16,64,147871,1000,0.001353956183663156,,1030.7040538787842,42
pde6,26,256,32,96,167471,1000,0.0006017433027440793,,986.6732940673828,42
pde6,27,128,64,32,144847,1000,0.0014360429875838626,,833.3200042247772,42
pde6,28,128,64,112,155087,1000,0.0006627575397608728,,808.4583468437195,42
pde6,29,768,64,48,763215,1000,0.0014509962918977598,,2172.810091972351,42
pde6,30,512,16,16,347807,1000,0.0010453505206847135,,1271.1818017959595,42
pde6,31,768,64,64,765263,1000,0.0012914627015215914,,1690.6261940002441,42
pde6,32,128,32,96,113839,1000,0.0007536723425831238,,810.9506371021271,42
pde6,33,256,128,80,317839,1000,0.0013670014358042163,,1254.498920917511,42
pde6,34,128,128,80,251919,1000,0.0007174012486338438,,1098.0881032943726,42
pde6,35,256,32,16,162351,1000,0.001578714656551661,,774.0542557239532,42
pde6,36,128,32,48,110767,1000,0.001567630620479015,,737.1588189601898,42
pde6,37,512,64,32,416335,1000,0.0013422282042077106,,1306.8065268993378,42
pde6,38,512,128,128,560271,1000,0.0011681544196646251,,1844.9450335502625,42
pde6,39,256,64,112,212815,1000,0.0012888531396942884,,1009.7468738555908,42
pde6,40,512,64,128,428623,1000,0.0012747881466664618,,1331.6846415996552,42
pde6,41,768,32,128,711727,1000,0.001353586723339415,,1667.0975840091705,42
pde6,42,256,32,48,164399,1000,0.0012529422337003214,,1054.928851366043,42
pde6,43,512,64,80,422479,1000,0.00293997478772107,,1326.061902999878,42
pde6,44,256,16,48,147359,1000,0.001164893441430507,,867.6327831745148,42
pde6,45,128,16,80,96799,1000,0.000936048494225792,,831.18376994133,42
pde6,46,768,64,128,773455,1000,0.0012077661378909707,,2005.1449887752533,42
pde6,47,256,16,128,149919,1000,0.0009566510409484687,,871.0713222026825,42
pde7,0,768,64,64,765263,1000,0.015605984898088199,,1762.083732366562,42
pde7,1,768,128,96,913295,1000,0.014176441275087102,,1700.5940942764282,42
pde7,2,128,128,128,264207,1000,0.010282988546789702,,754.2439589500427,42
pde7,3,256,128,16,301455,1000,0.013552571782962076,,1024.8441858291626,42
pde7,4,512,128,48,539791,1000,0.012874725161868657,,1255.4485383033752,42
pde7,5,512,32,112,374063,1000,0.013223259635751255,,1078.6481320858002,42
pde7,6,768,32,128,711727,1000,0.011836845103772926,,1742.4454760551453,42
pde7,7,256,64,128,214863,1000,0.012547542042599724,,823.3229792118073,42
pde7,8,128,32,128,115887,1000,0.012654756851096245,,640.7625164985657,42
pde7,9,512,32,64,370991,1000,0.012712555410100353,,1074.540159702301,42
pde7,10,512,64,128,428623,1000,0.011279103769016035,,1047.8572087287903,42
pde7,11,768,16,112,683423,1000,0.0108896875047633,,1567.725652217865,42
pde7,12,128,16,16,94751,1000,0.012171996971133227,,838.8887975215912,42
pde7,13,768,64,32,761167,1000,0.015732980188345486,,1782.9907040596008,42
pde7,14,512,32,16,367919,1000,0.015974372815143252,,1299.3023929595947,42
pde7,15,256,32,112,168495,1000,0.015204463684514788,,714.5813617706299,42
pde7,16,128,16,80,96799,1000,0.006172673998334671,,656.1125309467316,42
pde7,17,768,128,80,909199,1000,0.008758115618963593,,1609.8900797367096,42
pde7,18,768,64,80,767311,1000,0.017873734661017757,,1532.532561302185,42
pde7,19,768,16,48,681375,1000,0.01470354835585617,,1983.8537175655365,42
pde7,20,256,16,112,149407,1000,0.004719673960184648,,614.9260423183441,42
pde7,21,512,128,32,535695,1000,0.014046844350736741,,1472.6110610961914,42
pde7,22,128,32,32,109743,1000,0.011275031909694129,,572.7142655849457,42
pde7,23,768,128,128,921487,1000,0.010758061668274027,,1565.726044178009,42
pde7,24,256,16,96,148895,1000,0.012542810156747939,,834.54705119133,42
pde7,25,128,64,48,146895,1000,0.010861463081963283,,652.8126242160797,42
pde7,26,256,32,80,166447,1000,0.006951846747681117,,706.072060585022,42
